id,question,chapter,rightanswer,wronganswer1,wronganswer2,wronganswer3,wronganswer4,explanation,bookmark,bookinComp,bookTime,rese,wronganswer5
495,A drug’s chemical name is its:,11,Technical formula used only by scientists or manufactures.,Name that that specific company uses for the drug.,Agreed upon common name across industries.,A name that is copyrighted. ,,"A drug’s chemical name is its scientific name, comprised of its chemical formula.",,,,,
496,Why must you question a patient about the use of erectile dysfunction drug use prior to the administration of nitroglycerin?,11, Administration of nitroglycerin can cause dangerous hypotension if there is recent erectile dysfunction drug use, There is the potential for dangerous blood clots, The two drugs interact with each other and can cause a life-threatening allergic reaction," When erectile dysfunction drugs have been used recently, the effectiveness of nitroglycerin is greatly reduced",,"These drugs both dilate the blood vessels and can cause dangerously low blood pressure. Remember to always question your patient about the use of erectile dysfunction drugs (i.e. Viagra, Cialis, Levitra) in the past 24-48 hours.",,,,,
497,You have epinephrine packaged as 1mg/10mL. Medical control advises you to administer 0.3 mg to the patient intramuscularly. How many mL of the drug should you administer?,11, 3 mL, .3 mL, 30 mL, .03 mL,,"1 mg divided by 10 mL is equivalent to 0.1 mg/mL. Therefore, to administer 0.3 mg to a patient you should administer 3 mL.",,,,,
498,"When administering an Epi-pen, you should hold the needle to the person's thigh for approximately how many seconds?",11, 10 seconds, 15 seconds, 5 seconds, 1 second,,"To ensure all the medicine has been delivered, it is important to hold the Epi-Pen in place for no less than 10 seconds.",,,,,
499,"Epinephrine is often administered intramuscularly, which means?",11, In the muscle, Swallowed, Under the tongue, Under the skin,,"Under the skin is described as subcutaneous, under the tongue is described as sublingually, and swallowing medication is described as taken orally. Intramuscular means ""in the muscle.""",,,,,
500,You have just administered your first 0.4mg NTG sublingually to a 44-year-old female experiencing acute chest pain. How long should you wait before checking a BP to see the effects of your drug intervention?,11, 1-2 min,diving, 10-30 seconds, 15-30 min,,The onset of action for NTG is roughly 1-2 min so checking a BP during or shortly after that time would most likely be the best time to recheck.,,,,,
501,"If your patient is experiencing 10/10 chest pain but states that they get hives when they take Aspirin, you should?",11, Withhold Aspirin, Administer Aspirin, Administer a half-dose of Aspirin, Administer only one tablet of Aspirin (81mg),,A contraindication of Aspirin administration is an allergic reaction.,,,,,
502,"When giving aspirin to a victim with signs and symptoms of a heart attack, you should ensure the victim does not have three conditions. Which of the following is not one of those conditions?",11, Only administer aspirin if you have adult or regular aspirin on hand., Ask if the person has an allergy to aspirin, Check to make sure the victim has no major bleeding, Make sure the victim has no signs of a stroke,,"The correct dosage of aspirin is 2 low dose pills or one regular dose pills, to a victim with no major bleeding, no signs of a stroke, and no allergies to aspirin.",,,,,
503,"When anaphylactic shock is suspected, in addition to administering epinephrine, you should also ask medical control for approval to administer?",11, Antihistamine, Aspirin, Nitroglycerin, Lidocaine,,When administering epinephrine to alleviate symptoms of anaphylactic shock it is essential to also administer antihistamines. The respiratory distress and vasoconstriction are caused by a systemic release of histamines that must be stopped by administration of antihistamines. Epinephrine is administered to immediately relieve these symptoms while the antihistamines can take effect.,,,,,
504,Which of the following drugs would be useful in adsorbing certain toxins from the stomach after ingestion?,11, Activated charcoal, Syrup of ipecac, Oxygen, Nitroglycerin,,Activated charcoal adsorbs toxins to itself so they can be easily excreted rather than absorbed by the system.,,,,,
505,Inhalation is: ,12,An active process. ,A passive process. ,An energy neutral process. ,,,"Breathing in is an active process that takes energy.  A dead person could potentially let their last breath out because it is a passive process, but they could not breath in because it is an active process. ",,,,,
506,Which of the following describes the Nasopharynx?,12,The airway cavity behind the nose. ,"Small,  thin-walled air sacs. ",The subdivision of the main airway. ,The windpipe. ,,The nasopharynx is the airway cavity behind the nose. Think: naso = nose. ,,,,,
507,Which of the following describes the trachea?,12,The windpipe.,The airway cavity behind the nose.,"Small,  thin-walled air sacs.",The subdivision of the main airway.,,Another name for the trachea is the windpipe. All air from the nasopharynx and oropharynx meet at the trachea to go through the bronchioles to the lungs.,,,,,
508,Which of the following describes the bronchi?,12,The subdivision of the main airway.,The airway cavity behind the nose.,"Small,  thin-walled air sacs.",The windpipe.,,The bronchi are a division off of the trachea leading to the lungs.,,,,,
509,Which of the following describes the alveoli?,12,"Small,  thin-walled air sacs.",The airway cavity behind the nose.,The subdivision of the main airway.,The windpipe.,,The alveoli are thin-walled air sacs that give a place for oxygen and carbon dioxide to be exchanged for each other.,,,,,
510,The muscles that assist the diaphragm in respiration are:,12,The intercostal muscles.,The lung muscles.,The subclavian muscles.,The intra-diaphragm muscles.,,The intercostal muscles assist the diaphragm in respiration.,,,,,
511,The exchange of gases between an organism and its environment is called:,12,Respiration,Inhalation,Oxygenation,Breathing,,The exchange of gases is called respiration.,,,,,
512,A respiratory disease that causes the patient to lose surface area is called:,12,Emphysema,Chronic bronchitis,Asthma,Allergies,,"Emphysema is a disease that destroys the surface area of the alveoli, resulting in air trapping, a barrel chest, and frequently, the use of pursed lips to alter airway resistance and increase red blood cell production.  For this reason, people with emphysema are often nicknamed “pink puffers”.",,,,,
513,A respiratory disease which causes the patient to appear to have a barrel chest is called:,12,Emphysema,Chronic bronchitis,Asthma,Allergies,,"Emphysema is a disease that destroys the surface area of the alveoli, resulting in air trapping, a barrel chest, and frequently, the use of pursed lips to alter airway resistance and increase red blood cell production.  For this reason, people with emphysema are often nicknamed “pink puffers”.",,,,,
514,"A respiratory disease where the patient loses surface area, causing them to trap air in their lungs is called:",12,Emphysema,Chronic bronchitis,Asthma,Allergies,,"Emphysema is a disease that destroys the surface area of the alveoli, resulting in air trapping, a barrel chest, and frequently, the use of pursed lips to alter airway resistance and increase red blood cell production.  For this reason, people with emphysema are often nicknamed “pink puffers”.",,,,,
515,The respiratory disease that causes a patient to attempt to compensate for loss of available surface area in their lungs by making more red blood cells is called:,12,Emphysema,Chronic bronchitis,Asthma,Allergies,,"Emphysema is a disease that destroys the surface area of the alveoli, resulting in air trapping, a barrel chest, and frequently, the use of pursed lips to alter airway resistance and increase red blood cell production.  For this reason, people with emphysema are often nicknamed “pink puffers”.",,,,,
516,The respiratory disease that causes a patient’s body to increase mucous production in response to a stressor is called:,12,Chronic bronchitis,Asthma,Allergies,Emphysema,,"Chronic bronchitis is a respiratory disease that results in excess mucous production in the respiratory tree. Patients are frequently overweight and cyanotic,  giving them the nickname “blue bloaters”.",,,,,
517,Which respiratory disease’s patients are frequently overweight and cyanotic?,12,Chronic bronchitis,Asthma,Allergies,Emphysema,,"Chronic bronchitis is a respiratory disease that results in excess mucous production in the respiratory tree. Patients are frequently overweight and cyanotic,  giving them the nickname “blue bloaters”.",,,,,
518,The respiratory disease that is a reaction to chronic inflammation is termed:,12,Asthma,Allergies,Emphysema,Chronic bronchitis,,"Asthma is a chronic inflammation of the respiratory pathways that, over time, can lead to edema and further constriction of the airway. The first phase will respond to bronchodilators, but the second phase will only respond to steroids.",,,,,
519,The respiratory disease that can lead to edema and responds to steroids is termed:,12,Asthma,Chronic bronchitis,Emphysema,Allergies,,"Asthma is a chronic inflammation of the respiratory pathways that, over time, can lead to edema and further constriction of the airway. The first phase will respond to bronchodilators, but the second phase will only respond to steroids.",,,,,
520,The first medication that should be given to a patient in respiratory distress is:,12,Oxygen,The patient’s prescribed inhaler,BVM,Nitroglycerin,Epinephrine,A patient in respiratory distress should be given O2 right away.,,,,,
521,A beta-agonist works to:,12,Open the patient’s airway by expanding the air passages.,Open the patient’s alveoli.,Allow the patient’s diaphragm to work faster.,Drop the patient’s blood pressure.,,"A beta-agonist would open the patient’s airway by expanding the bronchioles. Alveoli should not open and close, and if they do, there is no medication to keep them open. The diaphragm shouldn’t need to work faster to help someone breathe; instead, there is something else that is causing the respiratory distress. Finally, a beta-agonist should maintain or increase the patient’s blood pressure.",,,,,
522,Which of the following is NOT a side effect of an inhaler?,12,Bradycardia,Tachycardia,Tremors,Nervousness,Weird taste,"Most inhalers have roughly the same medicine in them, and they often increase a patient’s heart rate, blood pressure, causes nervousness and tremors, and can even cause a strange taste in the mouth. Bradycardia, or slowing of the heart rate, is rarely a side effect.",,,,,
523,Which of the following are functions of the nasopharynx?,12,All of the answers,None of the answers,Warms the air,Humidifies the air,Filters the air,All of the answers are functions of the nasopharynx.,,,,,
524,Which structure is responsible for directing air into the trachea and food into the esophagus?,12,Epiglottis,Cricoid cartilage,Glottis,There is no structure responsible for this. ,,The epiglottis is a cartilage structure responsible for directing air to the lungs and food to the stomach.,,,,,
525,"Initially, when a patient becomes hypoxic, the EMT could expect the patient’s heart rate to:",12,Increase due to a sympathetic response.,Increase due to a parasympathetic response.,Decrease due to a sympathetic response.,Decrease due to the lack of oxygen available.,Decrease due to the decreased respiratory rate.,"When the body notices that it is becoming hypoxic, it sends out sympathetic signals that increase the heart rate and open up the airway passages.",,,,,
526,A late sign of hypoxia would be:,12,Bradycardia,Cyanosis,Tachypnea,Pain,,"Bradycardia is a symptom that the patient is heading toward cardiac arrest due to hypoxia, so it is a very late sign.  Respiratory depression should have been corrected before this point, as it is more difficult to reverse hypoxia once bradycardia has started.",,,,,
527,You arrive on scene and find a mother stating that her baby cannot breathe but she does not know why. You assess the baby and there is a high-pitched sound coming from the baby upon inspiration.   This is known as ________ and usually caused by:,12,Stridor/ a partial airway obstruction.,Stridor/ a full airway obstruction.,Wheezing/ a swollen airway.,Wheezing/ an obstructed airway.,,"The high-pitched sound upon inspiration is known as stridor, and indicates a partial airway obstruction due to the fact that the baby is still breathing. Once the baby stops breathing, it would be termed a full airway obstruction.",,,,,
528,Signs of a complete airway obstruction include all of the following EXCEPT:,12,Forceful coughing,Cyanosis,No chest rise or fall,The patient cannot speak,,"If a patient is coughing, it is an incomplete airway obstruction.",,,,,
529,The structure used by both the respiratory system and the digestive system is called:,12,Pharynx,Larynx,Trachea,Esophagus,,"The pharynx, a part of the upper airway,  is used by both the respiratory system and digestive systems.",,,,,
530,"You are on scene of a patient with severe respiratory distress. Before calling Medical Control to discuss administration of the patient’s inhaler,  you should:",12,Perform all actions listed.,Assess the patient’s vital signs.,Make sure that the medication is the patient’s.,Make sure that the medication is not expired.,Do any life saving interventions.,The correct answer is to do all of the actions.  Medical Control will want to know all of the above information.,,,,,
531,"You are on scene of a patient with severe wheezing. You listen to the patient chest and note that there is wheezing in all fields of the lungs. You administer the patient’s inhaler and begin transport. On the way to the hospital, you notice that the wheezing is gone from the patient’s lower lung fields and you hear nothing there. What does this mean?",12,The patient is getting worse.,The patient is improving since the wheezing is gone.,The patient’s medication worked.,"You did not listen to the lung sounds well, and you re-listen.",,"Worse then wheezing is the silent lung, which means the bronchiole constriction has gotten so bad that it is not letting air in or out. This is a bad sign.",,,,,
532,Asthma is a(n) _________ airway disease.,12,Lower,Upper,Diseased,,,Asthma is the constriction of the bronchioles in the lower airway.,,,,,
533,Epiglottitis is a(n) _________ airway disease.,12,Upper,Lower,Chronic,Allergic ,,Epiglottitis is caused by a virus and inflames the epiglottis in the upper airway.,,,,,
534,Emphysema is a(n) __________ airway disease.,12,Lower,Upper,Allergic,Acute,,Emphysema is the destruction of the alveoli in the lower airway that develops over time. ,,,,,
535,Chronic bronchitis is a(n) __________ airway disease.,12,Lower,Upper,Allergic,,,Bronchitis is a disease that affects the small bronchioles found in the lungs and is therefore a lower airway disease.,,,,,
536,"You are on scene of a patient in respiratory distress. You are unsure if the patient warrants positive pressure ventilation. In this case, it is best to:",12,Provide the positive pressure ventilation and see if his condition improves.,Closely monitor the patient to see if ventilation should be applied.,Call medical control to consult with a doctor on his assessment of your patient.,,,"In this case, it is much better to provide the positive pressure ventilation and assess how your patient’s condition changes than to not provide it.",,,,,
537,You are on scene of a young child who complains of a fever and a sore throat. The child is drooling but not coughing. What should you do next?,12,Apply a non-rebreather mask and transport.,Inspect the patient’s oropharynx.,Remove any foreign material.,Suction the patient’s mouth.,,"This patient is most likely suffering from epiglottitis, a potentially deadly upper airway disease that could close off the patient’s airway. It is important to immediately provide high flow oxygen and rapid transport.",,,,,
538,You are treating a 4-year-old female patient who has a barking cough that sounds like a seal. You expect that this patient has:,12,"Croup, resulting in swelling of the larynx.","Croup, resulting in constriction of the bronchioles.","Epiglottitis, resulting in swelling of the larynx.","Epiglottitis, resulting in an upper airway constriction.",,"Croup is characterized by a cough that is a “seal-like” bark, and is a swelling of the larynx, trachea, and bronchi.",,,,,
539,Which of the following are indicators of a lower airway disease in a child?,12,Audible wheezes and diminished breath sounds.,A cough like a seal and drooling.,A fever and hoarseness.,Sudden onset of stridor.,A prescription for a metered dose inhaler.,"While a MDI is prescribed for patients with lower airway disease, it is best to make decisions based on current presentation. Better indicators are audible wheezes and diminished breath sounds in all lung fields.",,,,,
540,Which of the street drugs below will depress the respiratory system?,12,Heroin,Cocaine,Marijuana,Meth,,"While pot can relax a patient, it does not depress the respiratory system directly. Cocaine and meth will both increase the respiratory rate through actions on the central nervous system. Heroin directly depresses the respiratory system and can lead to respiratory failure if overdosed.",,,,,
541,"When a patient is said to have a hypoxic drive, it means that:",12,"Their drive to breathe is controlled by being consistently hypoxic, rather than by the need to get rid of CO2.","Their drive to breathe is controlled by a consistent need for CO2, rather than by the need for oxygen like the rest of us.",Giving them oxygen could potentially kill them.,Giving them oxygen could cause them to stop breathing all together.,,"There was a time when EMTs were told not to give a patient with a hypoxic drive O2, since the patient’s need to breathe was driven by the need for oxygen,  rather than the need to expel CO2. This advice has since gone by the wayside, since current research supports the application of high flow O2 to anyone who is hypoxic.",,,,,
542,Another name for inspiration is:,12,Inhalation,Ventilation,Exhalation,Expiration,,Inhalation is synonymous with inspiration.,,,,,
543,You would expect an infant to breathe:,12,25 – 50 times a minute,25 – 35 times a minute,30 – 45 times a minute,20 – 40 times a minute,,Infants can breath very rapidly without being in distress; common respiratory rates can range from 25 up to 50 times a minute.,,,,,
544,How well a patient is breathing is the only thing that determines how well they are perfused. ,12,False: there is much that goes on in perfusion although respiration is the first step in perfusion.,"False: there is one other aspect, the heart pumping blood around. ",True: the definition of perfusion is the movement of gasses from in to out of the lungs,True: without good respirations everyone will be hypoperfused.,,"There is more to perfusion than just respiration. Although respiration is the first step to perfusion there is the process of gas exchange at the cellular level in the lungs, oxygen transport via the circulatory system, gas exchange at the tissue level, etc. ",,,,,
545,"Your patient is exhibiting signs of inadequate oxygenation, you would expect their skin to be: ",12,"Blue, pale and cool","Warm, pink and dry","Yellow, pale and dry","Pale, cool, and dry",,Inadequately oxygenated patients will be blue (cyanotic) pale (or ashen) and cool to the touch. Some would say clammy or even cold. This is their body's protective mechanism to attempt to shunt all of the available blood to vital organs and away from the skin. ,,,,,
546,You are treating an unresponsive adult male patient. You suspect he might have a serious airway problem requiring immediate intervention because: ,12,You hear snoring or gurgling,You hear wheezing,You hear whistling and grunting,he is not conscious and therefore has a serious airway problem. ,,"Unconsciousness itself does not mean that there is a serious airway intervention needed, although it could. Of the airway sounds that you could hear. Snoring and gurgling is the most serious as it usually means a partially obstructed airway. ",,,,,
547,"In the setting of a respiratory emergency for an infant or child, which of the following is the MOST concerning associated symptom? ",12,A slow pulse,A rapid pulse,A fever,Anxiety,,Of the options a slow pulse is the most concerning because it indicates that the infant or child has lost the ability to compensate for the respiratory emergency. ,,,,,
548,"You are assisting an elderly male patient that is suffering from an asthma attack. The patient says he is tired, if you are not sure if you should provide artificial ventilation for the patient you should: ",12,Provide the patient with artificial ventilation,Contact medical control,Ask the patient what you should do if he is to stop breathing,Have the patient get in the ambulance as quickly as possible,,"If you are not sure if you should provide artificial ventilation or not, you should provide artificial ventilation. Better to be aggressive with airway complications rather than too passive. ",,,,,
549,The chest wall of an infant or child is not as rigid as an adults. This means that infants and children must depend more on:,12,The diaphragm to breath normally,The ability to inhale more air per breath,Grunting and gurgling,You providing ventilation for them,,Infants and children depend more on their diaphragm since their chest wall is not as rigid as an adults. ,,,,,
550,The patient you are treating is suffering from respiratory distress but is breathing adequately. How should oxygen be administered to this patient? ,12,Nonrebreather mask,Nasal cannula,Pocket face mask,Bag Valve Device with supplemental oxygen,,"If a patient is in respiratory distress they deserve high flow O2 (not a nasal cannula). However, if they are breathing adequately, they do not need either pocket face mask, or BVM, which are necessary when breathing is not adequate. ",,,,,
551,Which of the following is a common side effect of CPAP?,12,Gastric distension,Hypotension,All of the options are side effects,Tachycardia,,CPAP does not typically cause hypotension or tachycardia. ,,,,,
552,"The patient you are treating has been using a CPAP device for 10 minutes, but is starting to demonstrate a decline in mental status. What should you do? ",12,Immediately remove the CPAP and provide positive pressure ventilation,Turn the CPAP device up and re-assess in 2 minutes,Administer a bronchodilator immediately,Immediately remove the CPAP and place the patient on a nonrebreather mask,,"CPAP is contraindicated in altered mental status so you must immediately remove the CPAP and provide positive pressure ventilation. Typically when a respiratory patient's mental status deteriorates, so does their drive to breath. Aggressively manage this patients airway. ",,,,,
553,Which of the following patients would CPAP be indicated for?,12,A patient with acute pulmonary edema,A patient with a chronic viral respiratory infection,A patient with a spontaneous pneumothorax,A patient suddenly suffering signs of epiglottitis,,"Of the options shown, the only patient that CPAP is indicated for is pulmonary edema. The spontaneous pneumo, would only push more air out of the patients lungs making it harder for the patient to breath. ",,,,,
554,Any patient whose injury relates to carbon monoxide poisoning or scuba diving should be sent to a facility with what specialty service?,12,Hyperbaric Oxygen Chambers,Hyper oxygenation Capabilities,Level 1 Trauma Centers,Burn Centers,,"Hyperbaric chambers are excellent tools that hospitals use to treat carbon monoxide and scuba diving related injuries. The 'hyper' mean above and 'baric' is related to pressure. Patients are placed in chambers that have a greater pressure that ""forces"" oxygen into their cells.",,,,,
555,"You are treating a 27-year-old female who suffered injuries to her neck during a domestic dispute. The patient tells you she was choked by her husband for ""a few seconds."" Her chief complaint is difficulty breathing. As you assess the wounds to her neck, you palpate the anterior base. You feel small crackles under the skin. What is the most likely cause of the crackly sensation?",12,Subcutaneous Emphysema,Dermal abrasion,Transdermal Emphysema,Nasopharynx Fracture,,The crackly sensation under the skin is subcutaneous emphysema. This is most likely caused by air that has leaked out under the skin from a fracture in the trachea. This is a life-threat and must be addressed immediately.,,,,,
556,Blood is ejected from the right atrium to the: ,13,Right ventricle and out to the lungs. ,Left atrium and out to the lungs.,Left ventricle and out to the body. ,Right ventricle and out to the body. ,,Blood goes from the body to the right atrium to the right ventricle and out to the lungs then back to the left side of the heart to the body. ,,,,,
557,Blood is ejected from the right ventricle to the:,13,Lungs and then back to the left atrium. ,"Left atrium, and then to the lungs.","Left atrium, and then to the body.",Lungs and then back through the right side to the body.,,Blood from the right ventricle goes out to the lungs and back through the left side of the heart to the body.,,,,,
558,Blood is ejected from the left atrium to the:,13,"Left ventricle, then out to the body.","Lungs, and back through the right side of the heart.","Right ventricle, then out to the body.","Right atrium, then out to the lungs.",,Blood goes from the left atrium to the left ventricle then out to the body and back through the right side of the heart and out to the lungs.,,,,,
559,Blood is ejected from the left ventricle to:,13,The body and back through the right side of the heart.,"The left atrium, then out to the body.","The right atrium, then out to the lungs.",The lungs and then back through the right side of the heart.,,"Blood moves from the left atrium to the left ventricle, out to the body, back through right side of the heart and then back out to the lungs.",,,,,
560,"At the cellular level, oxygen is exchanged for carbon dioxide in the:",13,Capillaries,Lungs,Blood vessels,Arterioles,,"Gas exchange happens in the lungs,  but it is not at the cellular level. All cells in the body exchange oxygen for carbon dioxide with the use of capillaries, including in the lungs.",,,,,
561,Which side of the heart is the low-pressure pump?,13,"The right side, which pumps to the lungs.","The right side, which pumps to the body.","The left side, which pumps to the lungs.","The left side, which pumps to the body.",,The right side of the heart is the low-pressure side. It is responsible for drawing blood back from the body and sending it out to the lungs.,,,,,
562,Which one of the following patients should have an AED applied?,13,"A 40-year-old patient who is pulseless, and apneic.",A 7 year-old patient that is choking on a marble.,A 22-year-old patient who is in cardiac arrest after a car accident.,A 48-year-old patient who is complaining of 10 out of 10 chest pain.,,"An AED should be applied to a patient who has not experienced traumatic arrest, and who is pulseless and apneic.",,,,,
563,"You are about to transport a patient with a history of CHF, who currently complains of difficulty breathing. The best position to transport this patient is:",13,Sitting upright.,Lying flat with the feet lifted up.,Sitting upright with the feet lifted up.,Lying flat with feet lying flat as well.,,"A patient with difficulty breathing should be placed in a position of comfort, which he or she feels is best to breath in. Patients with CHF will frequently find sitting in the upright position to be the best.",,,,,
564,"During the first 8 minutes of cardiac arrest, what is the most common presenting rhythm?",13,Ventricular fibrillation,Ventricular tachycardia,Asystole,A flat-line rhythm,,V-fib is the most common cardiac arrest rhythm within the first 8 minutes.,,,,,
565,The most effective treatment for ventricular fibrillation is:,13,Defibrillation,CPR,Hyperventilation,Rescue breathing,All of these options,"V-fib is best managed with prompt defibrillation. Transport, CPR, and rescue breathing should not delay defibrillation. However, recent research shows that a defibrillated heart has a better chance of being defibrillated properly if the heart has oxygen-rich blood in its arteries. Therefore, a quick round of CPR while the defibrillator is being set up would assist the defibrillator in getting the heart to function properly.",,,,,
566,You have used an AED on a patient in a cardiac arrest situation. You know it is time to transport the patient when:,13,All of the answers are right.,A total of six shocks have been delivered.,The patient regains a pulse.,The patient regains consciousness.,The AED has given three consecutive “No Shock Advised”.,"If the patient regains a pulse or consciousness, the patient has a high chance of a deadly rhythm returning and should be transported to the E.D. If the AED gives three consecutive, “No Shock Advised”, or a total of six shocks have been delivered, the patient should also be transported immediately.",,,,,
567,"When proper CPR is performed, a defibrillator can be effective up to how long after the onset of cardiac arrest?",13,10 minutes,8 minutes,6 minutes,5 minutes,,"With proper CPR, a defibrillator is found to be effective up to 10 minutes later.",,,,,
568,"You are called to a scene of a man who is pulseless and apneic. While you are preparing to place the AED on the patient, your partner should be:",13,Performing CPR.,Assisting with getting the AED ready.,Providing positive pressure ventilation.,Preparing the patient for transport.,Speaking with medical control.,"Even in the quickest of circumstances, recent research has shown that a heart that has not been beating properly but is quickly defibrillated can easily go back into its dangerous rhythm. Preloading the heart with new, oxygen-rich blood from the lungs can aid the heart in proper defibrillation.",,,,,
569,"You respond to a scene where you apply the AED, deliver a shock, and the patient regains a pulse. You decide to transport the patient and en-route to the hospital the patient becomes pulseless and apnic again. Your best course of action is to:",13,Perform all of the actions listed.,Pull over to the side of the road.,Re-analyze the rhythm.,"Provide up to three shocks, if necessary.",Start CPR.,"For this patient, it is best to pull over to the side of the road (a bumpy ride could cause the AED to misread the rhythm) and reanalyze the rhythm, providing up to three shocks with CPR in between.",,,,,
570,If the AED states that there is “no shock advised” you should:,13,Perform two minutes of CPR.,Take off the AED and do CPR.,Provide positive pressure ventilation.,Turn the machine off and then on again.,,If the machine states “no shock advised” you should perform two minutes of CPR and reanalyze.,,,,,
571,CPR should be stopped only to analyze the patient’s rhythm.,13,TRUE,FALSE,Slow down but do not stop proper CPR for anything. ,Utilize a one-hand method of CPR while the AED is evaluating the rhythm.,,"An AED cannot evaluate the patient’s rhythm appropriately if CPR is in progress. It is possible that the monitor could see CPR as V-Fib or V-Tach, and the monitor could incorrectly call for a shock.",,,,,
572,An AED should be used on all of these patients EXCEPT:,13,No: all patients can have an AED applied,9-year-old,10-year-old,5-year-old,,"AEDs have shown to be successful in any patient, including pediatrics. ",,,,,
573,An AED should shock which of the following rhythms:,13,Ventricular Tachycardia,Asystole,Pulseless electrical activity,Rapid tachycardia,,"An AED should shock ventricular tachycardia, but not asystole, or PEA. Paramedics can shock rapid tachycardias if necessary.",,,,,
574,You are on scene of a 3-year-old cardiac arrest patient. You should:,13,"Aggressively manage the airway, and provide ventilations.",Apply the AED and evaluate the cardiac rhythm.,Transport the patient immediately.,Attempt to clear the airway.,,"Most pediatric patients who go into cardiac arrest do so because of respiratory failure, so aggressive airway management is a good place to start.  ",,,,,
575,Which of the following is an example of a peripheral pulse?,13,The radial pulse,The carotid pulse,The femoral pulse,All of the answers are correct,,The radial pulse is a peripheral pulse; the other options are central pulses.,,,,,
576,Ischemia of cardiac tissue will always result in chest pain.,13,FALSE,TRUE,Only if it is causing respiratory depression. ,Only when the cardiac cells start dying.,,"Most patients who suffer ischemia of cardiac muscle do feel pain in their chests, but as many as 20% of cardiac ischemia (and possibly more as current research suggests) patients feel no pain at all.",,,,,
577,Ischemia is defined as:,13,An insufficient blood supply to a certain part or all of an organ.,An insufficient blood supply to the cardiac muscle.,Death of the cardiac muscle.,Pain resulting from cardiac muscle experiencing a lack of oxygen.,,"Ischemia, a lack of blood supply, could happen to any organ. In cardiology,  ischemia is usually caused by a blocked coronary artery.",,,,,
578,Angina is best defined as:,13,Chest discomfort upon exertion or activity that usually goes away with rest or nitroglycerin.,Chest discomfort upon exertion or activity that does not go away after rest or nitroglycerin.,Chest pain related to cardiac ischemia.,Chest pain that is unrelated to cardiac ischemia.,,Angina refers to pain or discomfort in the chest that starts with exertion or activity and is relieved with rest or nitroglycerin.,,,,,
579,The major arteries of the leg are called:,13,Femoral arteries,Carotid arteries,Jugular arteries,Brachial arteries,,Femoral arteries are the arteries that follow the femurs down the legs.,,,,,
580,The major arteries that run by the humerus are called:,13,Brachial arteries,Carotid arteries,Jugular arteries,Femoral arteries,,Brachial arteries are found in the biceps and run along the humerus.,,,,,
581,The major arteries of the neck are called:,13,Carotid arteries,Jugular arteries,Femoral arteries,Brachial arteries,,Carotid arteries are the arteries of the neck; the jugular veins also run in the neck.,,,,,
582,"Immediately after delivering a shock with the AED,  you should:",13,Begin CPR for 2 minutes.,"Assess for a pulse and if there is no pulse,  begin CPR.","Assess for a pulse and if there is no pulse,  re-analyze the patient’s rhythm.",Re-analyze the patient’s rhythm and either do CPR or re-shock.,,"Recent research supports the notion that even if a heart in a shockable rhythm is shocked out of that rhythm, the patient is better off if they receive at least one minute of CPR post-shock.",,,,,
583,"After shocking a patient out of a non-perfusing rhythm, you should:",13,Do CPR again,Immediately transport the patient.,Complete an initial assessment.,Provide positive pressure ventilation.,,"Immediately after shocking a patient out of a non-perfusing rhythm, you should complete one minute of CPR to assist the heart in re-perfusing itself.",,,,,
584,You have arrived on scene of a cardiac arrest patient who received good CPR before you arrived. You place the patient on an AED and it instructs you to shock the patient. You shock the patient and immediately:,13,Start CPR ,Positive pressure ventilation.,Transport.,Check for a pulse,,"CPR should always come after a shock, whether the shock is successful or not.",,,,,
585,The preferential immediate treatment for a patient that just went into cardiac arrest is:,13,Prompt defibrillation,Immediate CPR,Positive pressure ventilation,Definitive treatment at an E.R.,,Prompt defibrillation and then CPR is the preferred immediate treatment for a patient in cardiac arrest.,,,,,
586,AED's are indicated for use in which of the following patients:,13,"Adults, children and infants",Trauma patients,All patients that are 8 years or under,All patients over 55 pounds,,AEDs are frequently used on patients of all ages that are in cardiac arrest. ,,,,,
587,"The patient that you want to apply the AED to has a pacemaker, this means that you should:",13,Place the AED patch several inches way from the pacemaker battery,"Not place the AED on the patient, the pacemaker will shock the heart if its in a shockable rhythm","Place the AED patch right over the pacemaker, as it will provide a direct link to the heart",Reduce the shock of the AED by half,,The AED can ruin the pacemaker so it is important to attempt to keep the AED paddle several inches away from it. Also you can not change the shock settings on an AED. ,,,,,
588,Which of the following is the single most important factor in determining survival from cardiac arrest?,13,Early defibrillation,Arrival of advanced level care,Epinephrine infusion,Bystander CPR,,Of the options early defibrillation is the most important. If the onset of cardiac arrest to defibrillation is greater than 8 minutes there is little chance for survival. ,,,,,
589,"Damage to the left ventricle of the heart, usually causes:",13,Blood to back up in the  lungs and severe pulmonary edema,Blood to pool in the extremities causing severe pedal edema,Severe bradycardia,Severe tachycardia,,"Think of the anatomy of the heart. Blood coming into the left ventricle is coming from the lungs, so if the left ventricle is damaged, blood backs up in the lungs and can cause life threatening pulmonary edema. If the right ventricle is damaged, blood backs up in the extremities. ",,,,,
590,The condition in which a portion of the myocardium dies as a result of oxygen starvation is: ,13,Myocardial infarction.,Acute angina,Myocardial starvation,Coronary embolism,,"Infarction is the death of tissue, in this case part of the myocardium. Angina is pain in the chest that relieves with rest or nitro, and an embolism is an obstruction of an artery, usually an air bubble or a clot. ",,,,,
